county,precinct,office,district,candidate,party,votes
Linn,Precinct 001,President,,Donald J. Trump,REP,208
Linn,Precinct 001,President,,Joseph R. Biden,DEM,428
Linn,Precinct 001,President,,Jo Jorgensen,LBT,11
Linn,Precinct 001,President,,Howie Hawkins,PGP,8
Linn,Precinct 001,President,,Dario Hunter,PRO,7
Linn,Precinct 001,President,,Write-in,,4
Linn,Precinct 001,President,,Over Votes,,1
Linn,Precinct 001,President,,Under Votes,,8
Linn,Precinct 001,U.S. Senate,,Jo Rae Perkins,REP,193
Linn,Precinct 001,U.S. Senate,,Jeff Merkley,DEM,437
Linn,Precinct 001,U.S. Senate,,Ibrahim A. Taher,PGP,5
Linn,Precinct 001,U.S. Senate,,Gary Dye,LBT,16
Linn,Precinct 001,U.S. Senate,,Write-in,,1
Linn,Precinct 001,U.S. Senate,,Over Votes,,0
Linn,Precinct 001,U.S. Senate,,Under Votes,,23
Linn,Precinct 001,U.S. House,4,Daniel Hoffay,PGP,20
Linn,Precinct 001,U.S. House,4,Peter DeFazio,DEM,424
Linn,Precinct 001,U.S. House,4,Alek Skarlatos,REP,209
Linn,Precinct 001,U.S. House,4,Write-in,,1
Linn,Precinct 001,U.S. House,4,Over Votes,,0
Linn,Precinct 001,U.S. House,4,Under Votes,,21
Linn,Precinct 001,Secretary of State,,Nathalie Paravicini,PGP,34
Linn,Precinct 001,Secretary of State,,Kyle Markley,LBT,16
Linn,Precinct 001,Secretary of State,,Kim Thatcher,REP,218
Linn,Precinct 001,Secretary of State,,Shemia Fagan,DEM,379
Linn,Precinct 001,Secretary of State,,Write-in,,0
Linn,Precinct 001,Secretary of State,,Over Votes,,0
Linn,Precinct 001,Secretary of State,,Under Votes,,28
Linn,Precinct 001,State Treasurer,,Michael P. Marsh,CON,12
Linn,Precinct 001,State Treasurer,,Tobias Read,DEM,398
Linn,Precinct 001,State Treasurer,,Chris Henry,IND,34
Linn,Precinct 001,State Treasurer,,Jeff Gudman,REP,191
Linn,Precinct 001,State Treasurer,,Write-in,,2
Linn,Precinct 001,State Treasurer,,Over Votes,,0
Linn,Precinct 001,State Treasurer,,Under Votes,,38
Linn,Precinct 001,Attorney General,,Ellen Rosenblum,DEM,418
Linn,Precinct 001,Attorney General,,Lars D. H. Hedbor,LBT,20
Linn,Precinct 001,Attorney General,,Michael Cross,REP,197
Linn,Precinct 001,Attorney General,,Write-in,,3
Linn,Precinct 001,Attorney General,,Over Votes,,0
Linn,Precinct 001,Attorney General,,Under Votes,,37
Linn,Precinct 001,State House,15,Miriam G Cummins,DEM,366
Linn,Precinct 001,State House,15,Shelly Boshart Davis,REP,272
Linn,Precinct 001,State House,15,Write-in,,3
Linn,Precinct 001,State House,15,Over Votes,,0
Linn,Precinct 001,State House,15,Under Votes,,34
Linn,Precinct 003,President,,Donald J. Trump,REP,179
Linn,Precinct 003,President,,Joseph R. Biden,DEM,338
Linn,Precinct 003,President,,Jo Jorgensen,LBT,17
Linn,Precinct 003,President,,Howie Hawkins,PGP,6
